Titles for 2017 from The New York Times,
425.     ,"Activists Say, Beat Trump Or Shut Government Down"
426.     ,New Proposal Would Deport More Immigrants Immediately
427.     ,Immigrant Protected Under Obama Program Now Fights His Arrest
428.     ,More Immigrants Face Deportation Under New Rules
429.     ,A Young Immigrant Spoke Out About Her Deportation Fears. Then She Was Detained.
430.     ,Immigrants Aren't Just Economic Assets
431.     ,Immigrants Shouldn’t Have to Be ‘Talented’ to Be Welcome Contributing Op-Ed Writer
432.     ,"In Case Invoked by Trump, Mexican Man Is Acquitted in Killing"
433.     ,Canada Shows How to Thwart A Populist Tide
434.     ,The End of DACA: What We Know and Don't Know
435.     ,Woman Held After Speaking About Her Deportation Fears
436.     ,Questions for: 'Trump Blocks Syrian Refugees and Orders Mexican Border Wall to Be Built' Article of the Day
437.     ,"Torture Victim, Expecting a U.S. Handshake, Was Given Handcuffs Instead"
438.     ,Bond Hearings Upheld For Immigrant Minors
439.     ,10-Year-Old Immigrant Who Was Detained After Surgery Is Released
440.     ,Mayor Says Indiana Man's Deportation 'Feels Like a Defeat for Our Community'
441.     ,"Mexican Deportees, Once Ignored Back Home, Now Find ‘Open Arms’"
442.     ,Proposed Budget Takes Broad Aim at Undocumented Immigrants
443.     ,Trump Budget Takes Broad Aim at Undocumented Immigrants
444.     ,Canada Becomes a Magnet for Tech Talent
445.     ,"Criminal Acts Led to Arrests of Immigrants in New York Area, Officials Say"
446.     ,Office to Aid Crime Victims Is Latest Step in Crackdown on Immigrants
447.     ,"U.S. Deported Immigrant in 'Dreamer' Program, Lawsuit Says"
448.     ,Sessions Scolds Chicago for Suing Over 'Sanctuary' Threat
449.     ,"U.S. Arrests 39 Members of MS-13, Gang Blamed for Long Island Killings"
450.     ,"A Defender of the Constitution, With No Legal Right to Live Here"
451.     ,Woman Detained After Speaking About Deportation Fears Is Released
452.     ,White House to Sanctuary Cities: Shield the Undocumented and Lose Police Funding
453.     ,Candidate for Governor Shifts to Right in Waning Days of Campaign
454.     ,Questions for: ‘New Trump Deportation Rules Allow Far More Expulsions’ Article of the Day
455.     ,"In a Shift, Deportees Find 'Open Arms' in Mexico"
456.     ,French Historian Says He Was Threatened With Deportation at Houston Airport
457.     ,White House to States: Shield the Undocumented and Lose Police Funding
458.     ,Texas Lawmaker Threatens to Shoot Colleague After Reporting Protesters to ICE
459.     ,Texas Pulls Up the Welcome Mat Contributing Op-Ed Writer
460.     ,"After Backing Trump, Christians Who Fled Iraq Fall Into His Dragnet"
461.     ,Torture Victim Who Escaped To U.S. Won't Be Deported
462.     ,Immigrant Detentions Letter
463.     ,Trump Administration Moves to Expand Deportation Dragnet to Jails
464.     ,Immigrant Detentions
465.     ,Crackdown Aims at Parents Who Have Children Smuggled
466.     ,Former Aide To Secretary Will Replace Him as Chief
467.     ,‘The Daily’: A Day With I.C.E. The Daily
468.     ,Trump Plan Would Curtail Protections for Detained Immigrants
469.     ,The End of DACA: What We Know and Don’t Know
470.     ,Expanding the Deportation Dragnet
471.     ,"‘Please, God, Don’t Let Me Get Stopped’: Around Atlanta, No Sanctuary for Immigrants"
472.     ,The U.S. Nursed an Undocumented 10-Year-Old. Now It May Deport Her.
473.     ,"Undocumented Lawyer, but No Less Defiant"
474.     ,Justice Dept. Warns Cities To Comply On Migrants
475.     ,ICE Office Aids Victims Of Crimes By Migrants
476.     ,Holding Safety Hostage
477.     ,Tucson’s Police Chief: Sessions’s Anti-Immigrant Policies Will Make Cities More Dangerous Op-Ed Contributor
478.     ,"Jeff Sessions, Unleashed at the Border Editorial"
479.     ,U.S. Ends Program Giving 'Dreamers' Legal Protection
480.     ,"To Detain More Immigrants, Trump Administration to Speed Border Hiring"
481.     ,"Is ICE’s Help-Wanted Sign a Welcome Mat for Rogue Applicants, Too?"
482.     ,San Francisco Sues Trump Over 'Sanctuary Cities' Order
483.     ,"Promising Riches and Canadian Residency, and Now Accused of Fraud"
484.     ,"Facing Deportation, Woman Seeks Refuge In a Manhattan Church"
485.     ,Criticism for Judge Who Spoke of 'Stalking' Agents
486.     ,Former Arizona Sheriff Is Convicted of Criminal Contempt for Targeting Immigrants
487.     ,"In Canada, Justin Trudeau Says Refugees Are Welcome"
488.     ,Confess Your Political Uncertainty Op-Ed Columnist
489.     ,"Told to Go Back to Guatemala , She Sought Sanctuary Instead"
490.     ,Call in Congress To Finish a Job Stalled 16 Years
491.     ,"Into the Void, With Steve King Editorial"
492.     ,A Trump Dividend for Canada? Maybe in Its A.I. Industry
493.     ,Democrats Say Wall Will Cost More Than Estimated
494.     ,Plan Would Limit Protections For Immigrants Held in Jails
495.     ,Woman Jailed After Speaking About Deportation Fears Is Released
496.     ,"Migrants Were Told to Sign Away Right to Enter U.S. , Lawyers Say"
497.     ,"Expecting Handshake, Getting Handcuffs Instead"
498.     ,"Kirstjen Nielsen, White House Aide, Is Confirmed as Homeland Security Secretary"
499.     ,"Backed by Law Enforcement, Undocumented Immigrant Gets Reprieve"
500.     ,‘The Daily’: Carlos’s Secret The Daily
501.     ,"Border Wall Could Cost 3 Times Estimates, Senate Democrats’ Report Says"
502.     ,"U.S. Deported Immigrant in ‘Dreamer’ Program, Lawsuit Says"
503.     ,U.S. to End A Program That Shields Nicaraguans
504.     ,Sanctuary Cities Face Aid Cuts as Justice Dept. Tightens Screws
505.     ,"Pitched as Calming Force, John Kelly Instead Mirrors Boss’s Priorities"
506.     ,"Jeff Sessions, Unleashed at the Border"
507.     ,‘The Daily’: Stephen Miller’s Big Weekend The Daily
508.     ,"'Bad Dude'? No, but Deported Anyway"
509.     ,Wooing China Investors With the Trump Name And Offers of U.S. Visas
510.     ,Hispanic Leaders Plan Fight Against Trump’s Agenda
511.     ,"Protected Under Obama, Immigrant Fights Arrest"
512.     ,Teaching Activities for: ‘White House Makes Hard-Line Demands for Any ‘Dreamers’ Deal’ Article of the Day
513.     ,Brexit Sends Labour Back to Class Op-Ed Contributor
514.     ,Brexit sends Labour back to class
515.     ,"U.S. Nursed an Undocumented Girl, 10. Now It May Deport Her."
516.     ,Memo Tells of U.S. Plan to Speed Up Border Hires
517.     ,Immigrant Shielded From Deportation by Philadelphia Church Walks Free
518.     ,Immigrant Father Shielded From Deportation by a Philadelphia Church Walks Free
519.     ,Former Arizona Sheriff Joe Arpaio Is Convicted of Criminal Contempt
520.     ,The Real Cost of Mr. Trump’s Wall Editorial
521.     ,"Contrary to Trump's Claims, Immigrants Are Less Likely to Commit Crimes"
522.     ,Private Donors to Fund Legal Services for Some Immigrants
523.     ,President Trump Wants a Wall? Mexico Is It Economic Scene
524.     ,Napolitano Sues Trump to Save DACA Program She Helped Create
525.     ,Meatpacking Plant Owner In '08 Iowa Raid Is Freed
526.     ,'Dreamer' Plan Creator Suing Trump to Save It
527.     ,Why Even a Live-Tweeting Senator Couldn’t Stop a Deportation
528.     ,"Many Ask for Asylum, But It's Rarely Granted"
529.     ,"Will ICE's Help-Wanted Sign Be a Welcome Mat for Rogue Applicants, Too?"
530.     ,"On Long Island, Sessions Vows to Eradicate MS-13 Gang"
531.     ,"Once Seen as Calming Force, Kelly Amplifies Boss's Message"
532.     ,"The Road, or Flight, From Detention to Deportation"
533.     ,"The Road, or Flight, From Detention to Deportation"
534.     ,"City Should Help All In Fighting Deportation, Council Members Say"
535.     ,He Promised Riches and Entry to Canada. Now He’s the Subject of a Fraud Case in Vancouver .
536.     ,"After 16 Futile Years, Congress Will Try Again to Legalize ‘Dreamers’"
537.     ,"The Road, or Flight, From Detention to Deportation"
538.     ,Uber C.E.O. to Leave Trump Advisory Council After Criticism
539.     ,"All Immigrants Should Be Given Lawyers, Some City Council Members Say"
540.     ,"Geert Wilders, a Dutch Nationalist Politician, Calls Moroccan Immigrants ‘Scum’"
541.     ,Texas Pulls Up the Welcome Mat
542.     ,"Uber Chief, Facing Worker Ire, Quits Team of Trump Advisers"
543.     ,"In Ban on Migrants, Trump Supporters See a Promise Kept"
544.     ,The 'Deportation Force' Takes Shape
545.     ,What We’re Reading
546.     ,Sanctuary Cities in Name Only Op-Ed Contributors
547.     ,"Immigrant Lacking Papers Is Free, With Help of Many"
548.     ,"Anti-Immigrant Bias, Then and Now"
549.     ,Proposal to Collect Social Media Data From Immigrants Raises Privacy Concerns
550.     ,Mr. Trump’s ‘Deportation Force’ Prepares an Assault on American Values Editorial
551.     ,"‘Bad Dude’? No, but Deported Anyway Editorial"
552.     ,"To Stave Off a Deportation, Cuomo Pardons a 9/11 Volunteer"
553.     ,"To Hold Off the Right, New Dutch Coalition Partly Embraces It"
554.     ,Trump Declares Suspect ‘Should Get Death Penalty’
555.     ,"South of the Border, Migrants Eye a Storm-Torn Texas"
556.     ,U.S. to Collect Social Media Data on All Immigrants Entering Country
557.     ,Killing in Kansas Bar Put Victim's Widow at Risk of Deportation
558.     ,"Stepped-Up Raids, but Gang Violence Persists Big City"
559.     ,How to Woo Chinese Investors: With Visa Offers and the Trump Name
560.     ,"In Little Guyana , Family Visa Cuts Would Be Painful"
561.     ,Latinos Express Outrage After Trump Pardons Arpaio
562.     ,Why It’s Already Difficult to Gain Entry Into the U.S.
563.     ,Killing in Kansas Bar Put Victim’s Widow at Risk of Deportation
564.     ,What Google and Twitter Say About Trump’s First 100 Days
565.     ,"‘Dreamers’ to Stay in U.S. for Now, but Long-Term Fate Is Unclear"
566.     ,"About 2,500 Nicaraguans to Lose Special Permission to Live in U.S."
567.     ,Council Seeks to Counter Trump's Crackdown on Undocumented Immigrants
568.     ,When Can Immigrants Be Deported for Crimes? Justices Hear Sides
569.     ,New York ’s City Council Seeks to Bolster ‘Sanctuary City’ Status
570.     ,Migrants Less Likely to Commit Crimes
571.     ,Homeland Security Goes Abroad. Not Everyone Is Grateful.
572.     ,"Into the Void, With Steve King"
573.     ,"Averting Terror In U.S. , at Posts In 70 Countries"
574.     ,Refugee Doors: O Canada! O America ! Letters
575.     ,Britain is an immigrant nation
576.     ,Anti-Immigrant Bias Against Asians and the Irish Letters
577.     ,Britain Is an Immigrant Nation Op-Ed Contributor
578.     ,Haitian Immigrants in U.S. Await Trump's Next Move
579.     ,Worshiping the Bony Lady
580.     ,Reports of Raids Shake the Undocumented
581.     ,"Worshiping Santa Muerte, ‘Holy Death,’ in Queens Album"
582.     ,"U.S. Quits Migration Pact, Saying It Infringes on Sovereignty"
583.     ,"As Arrests Surge, Immigrants Fear Even Driving"
584.     ,"U.S. Quits Talks on a U.N. Migration Pact, Saying It Infringes on Sovereignty"
585.     ,President Commutes Sentence of Iowa Meatpacking Executive
586.     ,Reports of Raids Have Immigrants Bracing for Enforcement Surge
587.     ,Suspect in Canada Attack Was Ordered Out of U.S.
588.     ,Texas Lawmaker Threatens to Shoot Colleague After Reporting Protesters to ICE
589.     ,Suspect in Canada Terror Attack Had Been Ordered to Leave U.S.
590.     ,Trump Orders Mexican Border Wall to Be Built and Plans to Block Syrian Refugees
591.     ,"At Risk of Deportation, a Mother Takes Refuge"
592.     ,"Even on Their Special Day, Irish Immigrants in America Have Reason to Fear Editorial Observer"
593.     ,Mayor and City Council Make Deal on Lawyers for Immigrants
594.     ,"Even on Their Special Day, Irish Immigrants in America Have Reason to Fear"
595.     ,Hong Kong Rail Plan Raises Fears of Mainland China's Influence
596.     ,Visiting French Historian Threatened With Deportation
597.     ,A Game of Cat and Mouse With High Stakes: Deportation
598.     ,"Trump, in Optimistic Address, Asks Congress to End ‘Trivial Fights’"
599.     ,Marine Le Pen and Emmanuel Macron : Where France 's Candidates Stand
600.     ,Campuses Wary of Offering ‘Sanctuary’ to Undocumented Students
601.     ,The Supreme Court Ruling on the Trump Travel Ban Letters
602.     ,Justices' Ruling on the Travel Ban
603.     ,"Before Congress , Trump Urges End to 'Trivial Fights'"
604.     ,"Surprising His Allies, Trump Swerves Left"
605.     ,Justices Hear a Case on the Federal Government's Power to Deport Criminals
606.     ,Sanctuary Cities in Name Only
607.     ,California Today: Taking On Trump Over Sanctuary Cities California Today
608.     ,Trump Pardons Ex-Sheriff Seen As Migrant Foe
609.     ,The Cost of Mr. Trump's Wall
610.     ,"Geert Wilders, a Dutch Nationalist Politician, Calls Moroccan Immigrants 'Scum'"
611.     ,Policy Under Trump Bars Obama-Era Path to U.S. for Central American Youths
612.     ,Fake ICE Notices Urge Washington Residents to Report ‘Illegal Aliens’
613.     ,Mexican Consulates Become Welcome Ally for Anxious Immigrants
614.     ,Mexican Consulates Flooded With Fearful Immigrants
615.     ,Marine Le Pen and Emmanuel Macron: Where France ’s Candidates Stand
616.     ,"Harsh Memories of Raids, Grim Fears for the Future"
617.     ,"At Statue of Liberty, Words That Resonate Even if They’re Unfamiliar"
618.     ,"Facing Wave of Refugees, Montreal Opens Up Stadium for Housing"
619.     ,Hong Kong Rail Plan Raises Fears of Mainland China’s Influence
620.     ,The Costs of Mr. Trump's Dragnet
621.     ,"Facing Wave of Refugees, Montreal Opens Its Olympic Stadium to House Them"
622.     ,"Raids of Illegal Immigrants Bring Harsh Memories, and Strong Fears"
623.     ,Haitian Immigrants With Temporary Status Await Trump’s Next Move
624.     ,"Immigrants Hide, Fearing Capture on ‘Any Corner’"
625.     ,Rape Charges to Be Dropped Against Students in Case Cited by White House
626.     ,Interrupting Gang Killings
627.     ,Immigrant Mother in Denver Takes Refuge as Risk of Deportation Looms
628.     ,"From Deep Grief, a Solid Bond With Trump on Border Policy"
629.     ,"In the Heart of ‘The Resistance,’ California Conservatives Are Invigorated"
630.     ,What Do Dreamers Do Now?
631.     ,Why Texans Are Fighting Anti-Immigrant Legislation Op-Ed Contributor
632.     ,A Variant 'Resistance' Inspires Conservatives Throughout California
633.     ,President Assails 'Joke' Justice And Seeks Visa Program's End
634.     ,Officials Say Criminal Acts Led to Arrests of Immigrants
635.     ,What Do Dreamers Do Now? Op-Ed Contributor
636.     ,"As Texans Battened Hatches, Migrants Saw Their Shot to Cross Border"
637.     ,"Migrants Hide, Fearing Capture on 'Any Corner'"
638.     ,Are 'Dreamers' Next? G.O.P. Fears Backlash
639.     ,"As DACA Negotiations Drag On, a Judge in Brooklyn Could Intervene"
640.     ,Fact-Checking Claims About Trump’s Travel Ban
641.     ,"In Trump’s Early Days, News Media Finds Competing Narratives"
642.     ,"In Trump's Early Days, News Media Finds Competing Narratives"
643.     ,President Wants a Buffer for Migrants? Mexico Is It
644.     ,Senate Democrats Aim Their Limited Firepower at Trump’s Nominees
645.     ,"Sanctuary: Campuses Prepare to Protect Their Own, or Not"
646.     ,"'Dreamers' to Stay in U.S. for Now, but Their Long-Term Fate Is Unclear"
647.     ,Trump and the Battle Over Sanctuary in America Retro Report
648.     ,Right and Left React to Leaks and Presidential Communications
649.     ,Right and Left React to Leaks and Presidential Communications
650.     ,"For the Undocumented, a Broken Headlight Can Lead to Deportation"
651.     ,Building Walls and Barring Refugees
652.     ,"On DACA, President Trump Has No Easy Path"
653.     ,"On 'Dreamers,' No Easy Path For President"
654.     ,Protected Status for Haitians Letter
655.     ,Immigrant Women and Children
656.     ,Police Fear Trump's Orders May Handcuff Their Effort to Fight Gangs
657.     ,Dutch Coalition Moves to the Right to Thwart a More Drastic Shift
658.     ,Review: ‘ American Jihad’ and the Problem With the Internet
659.     ,No Crackdown on Illegal Employers
660.     ,Governor Pardons Prisoner in ICE Custody as Lengthy Battle Continues
661.     ,‘I Am an American Because of Him’: The Journey of Pence’s Grandfather From Ireland
662.     ,America 's Farms and Immigrant Labor
663.     ,‘The Daily’: North Korea ’s Deliberately Crazy Scheme The Daily
664.     ,America ’s Farms and Immigrant Labor Letters
665.     ,No Crackdown on Illegal Employers Editorial
666.     ,"If Trump Goes After ‘Dreamers,’ Republican Loyalty May Be Tested On Washington"
667.     ,White House Pushed for End to Deportation Shield
668.     ,California Today: What It Means to Be a ‘Sanctuary State’ California Today
669.     ,Sanctuary Movement Parallels One That Defied Reagan
670.     ,"Syrian Denied Asylum, Upended by Broad Law"
671.     ,Are Immigrants Causing a Swedish Crime Wave? Taking Note
672.     ,Trump’s Argument Against Immigrants: We’ve Heard It Before Retro Report
673.     ,Trump’s Move to Deport More Immigrants Letters
674.     ,"In Courthouse Cat-and-Mouse, Stakes Are High: Deportation"
675.     ,"A ‘Sanctuary City’ Seizes the Moment, and the Name Editorial Observer"
676.     ,"Finding Common Ground, Despite Ideological Divides Contributing Op-Ed Writer"
677.     ,Wealthy Chinese Scramble for Imperiled Commodity: U.S. ‘Golden Visa’
678.     ,Tech Titans Make Pilgrimage to White House to Discuss Government Systems
679.     ,"A 'Sanctuary City' Seizes the Moment, and the Name"
680.     ,"Five Faces, All Immigrants, Are Added to the 9/11 Memorial"
681.     ,America ’s Competitors Angle for Silicon Valley’s Business
682.     ,Silicon Valley Chiefs Attend White House Forum on Government Tech
683.     ,'I Am an American Because of Him'
684.     ,Low-Skilled Immigrants? Letter
685.     ,Marine Le Pen Leads Far-Right Fight to Make France ‘More French ’
686.     ,"As U.S. Tightens Visas for Tech, Canada Opens for Business"
687.     ,White House Weighs Separating Families to Deter Migrants
688.     ,Second Federal Judge Blocks the Third Revision of the Travel Ban
689.     ,The Promised Crackdown: Building Walls and Barring Refugees Letters
690.     ,"Sessions Can’t Deny Money for Sanctuary Cities, Judge Rules"
691.     ,Flip Side of Outrage: Some See a Promise Kept
692.     ,Hawaii Sues to Block Trump Travel Ban; First Challenge to Order
693.     ,"Corrections: May 19, 2017"
694.     ,Fear That Gang Data Could Be Used for Deportations
695.     ,"Border Patrol Chief, an Agency Outsider, Is Stepping Down"
696.     ,"Ever a Showman, Donald Trump Keeps Washington Guessing"
697.     ,The Political Payoff of Depicting White Identity as Under Siege
698.     ,Behind More Success for the Far Right
699.     ,Paul Ryan Tours Texas Border Area Where Trump Wants a Wall
700.     ,Localities Bristle at Report on Cooperation With ICE
701.     ,Gang Database Criticized for Denying Due Process May Be Used for Deportations
702.     ,Changes to Tech Worker Visas Are Cosmetic. For Now.
703.     ,Senate Democrats Aim Their Limited Firepower at Trump's Nominees
704.     ,"For Human Cargo, Truck Door Closed Out the Light, and Life"
705.     ,"Sheriff No More, Arpaio Is Still a Polarizing Figure"
706.     ,‘The Daily’: Mike Pence’s Immigrant Roots The Daily
707.     ,"Driving While Undocumented, and Facing the Risks"
708.     ,Democrats Begin Legal Assault on Trump’s Move to End ‘Dreamer’ Program
709.     ,"Offering a Path to Citizenship, Canada Beckons Foreign Students"
710.     ,"States Sue to Save 'Dreamers,' Claiming Bias Drove Decision"
711.     ,Conservatives Recoil at Trump's Accommodation With Democrats Over DACA
712.     ,Canada Beckons International Students With a Path to Citizenship
713.     ,Can't Get Visa for Silicon Valley? Mexico Awaits
714.     ,Disney Chief: My Role on a Trump Panel Is ‘Not an Endorsement’
715.     ,The Travel Ban: An Assault on Islam?
716.     ,Fake ICE Notices Urge Washington Residents to Report 'Illegal Aliens'
717.     ,Conservative Judges Fuel a Legal Losing Streak
718.     ,‘The Daily’: A Dinner Party at the ‘Breitbart Embassy’ The Daily
719.     ,A Surge of Migrants Crossing Into Quebec Tests Canada’s Welcome
720.     ,Trump’s Losing Streak in Courts Is Traceable to Conservative Judges News Analysis
721.     ,Fact-Checking Assertions About the President's Travel Ban
722.     ,Hispanic Political Fund Sets Meeting on Strategy
723.     ,The Fate of the Illegal Immigrants
724.     ,Listen to ‘The Daily’: The Sheriff Bind The Daily
725.     ,"Ban Prompts Deep Anger, Muted Praise"
726.     ,"Corrections: October 4, 2017"
727.     ,Trump Administration Punishes Countries That Refuse to Take Back Deported Citizens
728.     ,"Avoiding Trump, but Adopting His Divisive Playbook: Will It Work in Virginia ?"
729.     ,Brexit Isn't Good for Britain
730.     ,2nd Federal Judge Strikes Down Trump’s New Travel Ban
731.     ,Loose Definition of Terrorism Upends a Syrian Asylum Seeker’s Life
732.     ,"Deported Repeatedly, Man Is Sentenced to 35 Years for Attacks on 2 Oregon Women"
733.     ,Tactics in Tight Virginia Race May Become a Guide Elsewhere
734.     ,"To Be Great Again, America Needs Immigrants"
735.     ,Should the Government Allow ‘Dreamers’ to Stay in the U.S. Without Fear of Being Deported? Student Opinion
736.     ,Legal Setback for Trump's Travel Ban
737.     ,A Legal Setback for Trump’s Travel Ban Letters
738.     ,Lawmakers Push to Give Terminally Ill British Baby U.S. Residency
739.     ,Refugee Doors: O Canada! O America !
740.     ,Fearmongering at Homeland Security
741.     ,Sessions Vows to Enforce an Anti-Bribery Law Trump Ridiculed
742.     ,Lawmakers Push to Give Ill Baby U.S. Residency
743.     ,Anti-Immigrant Fringe Stirs as Canada Transforms
744.     ,"Deported Repeatedly, Man Is Sentenced to 35 Years for Attacks on 2 Oregon Women"
745.     ,"Travelers Were Coerced by Agents, Lawyers Say"
746.     ,Bill Would Give Green Cards to Undocumented 9/11 Volunteers
747.     ,Fearmongering at Homeland Security Editorial
748.     ,How People Entering the Country Are Monitored and Checked
749.     ,"In Canada, Justin Trudeau Says Refugees Are Welcome"
750.     ,"As Canada Transforms, an Anti-Immigrant Fringe Stirs"
751.     ,"To Be Great Again, America Needs Immigrants Contributing Op-Ed Writer"
752.     ,"Iraqi Immigrant, Caught in a Trump Policy Tangle, Is Allowed to Stay"
753.     ,The Travel Ban: An Assault on Islam? Letters
754.     ,"Stay, Hide or Leave? Hard Choices for Immigrants in the Heartland"
755.     ,Loving And Leaving America
756.     ,Governor Pardons Prisoner in ICE Custody as Lengthy Battle Continues
757.     ,Art Installation Shares Sights and Sounds of the Border
758.     ,Conservatives Recoil at Trump’s Accommodation With Democrats Over DACA
759.     ,New Gender Category on Canadian Documents Like Passports: 'X'
760.     ,What the Far Right’s Rise May Mean for Germany ’s Future The Interpreter
761.     ,He’s a Local Pillar in a Trump Town. Now He Could Be Deported.
762.     ,"Peter Kwong, Authority on Chinatowns, Dies at 75"
763.     ,"To Stave Off a Deportation, Cuomo Pardons a 9/11 Volunteer"
764.     ,Bannon's Vision for a 'Deconstruction of the Administrative State'
765.     ,China Wants to Attract More Foreigners (of a Certain Kind) Sinosphere
766.     ,Breaking the Anti-Immigrant Fever
767.     ,"Losing Hope in U.S. , Migrants Make Icy Crossing to Canada"
768.     ,Ruling Conservative-Led Bloc Wins Norway ’s National Elections
769.     ,Trump Weighs Ending Shield For 'Dreamers'
770.     ,China Wants to Attract More Foreigners (at Least of a Certain Kind)
771.     ,The Country I Love Op-Ed Contributor
772.     ,"Stephen K. Bannon’s CPAC Comments, Annotated and Explained The Interpreter"
773.     ,The Enemy of My Dreams
774.     ,"Losing Hope in U.S. , Refugees Make Icy Trek to Canada"
775.     ,"In San Antonio Smuggling Case, a Fatal Journey in a Packed and Sweltering Truck"
776.     ,Stephen Miller Is the Enemy of My Dreams Contributing Op-Ed Writer
777.     ,Trump Policy Blocks Obama-Era Path to U.S. for Central Americans
778.     ,The National Death Wish Op-Ed Columnist
779.     ,George Soros: When Hate Surges Op-Ed Contributor
780.     ,Activism Hits Even the Less Flashy Tech Companies
781.     ,Origin Stories
782.     ,The National Death Wish
783.     ,Breaking the Anti-Immigrant Fever Editorial
784.     ,The Fate of the Illegal Immigrants Letters
785.     ,Campus Politics in the Age of Trump Contributing Op-Ed Writer
786.     ,Brexit Isn’t Good for Britain Letter
787.     ,Refugees Already Face Strict Vetting
788.     ,Donations to A.C.L.U. and Other Organizations Surge After Trump’s Order
789.     ,Trump's Signing of Immigrant Ban Puts Pentagon in Uncomfortable Light
790.     ,"At Statue of Liberty, Words That Resonate Even if They Are Unfamiliar"
791.     ,The Political Payoff of Making Whites Feel Like a Minority Base Instinct
792.     ,"Paid Notice: Deaths COVEN, JULES ELLIOT"
793.     ,Survivors of Fatal Trip Could Gain Entry to U.S.
794.     ,"Visa Shortage Spurs Vacancies, for Jobs, at a Tourist Getaway"
795.     ,"Trump Weighs Cuts to Coast Guard, T.S.A. and FEMA to Bolster Border Plan"
796.     ,"Though No Longer Sheriff, Joe Arpaio Is Still a Polarizing Figure"
797.     ,Is Anyone Good Enough for an H1-B Visa?
798.     ,"President Rips Up the Script, Then Sticks to the Teleprompter"
799.     ,"Trump, Jim Justice, N.F.L.: Your Thursday Evening Briefing"
800.     ,"John Kelly, New Chief of Staff, Is Seen as Beacon of Discipline"
801.     ,Square-Jawed General Has New Mission: Restore Order to West Wing
802.     ,Wealthy Chinese Scramble for Imperiled Commodity: American 'Golden Visa'
803.     ,We Need the Diversity Visa Lottery Op-Ed Contributor
804.     ,Is Anyone Good Enough for an H-1B Visa? Op-Ed Contributor
805.     ,Yemenis Close Bodegas and Rally to Protest Trump’s Ban
806.     ,A 'Passionate' Seeker of Voter Fraud in Kansas Gets a National Soapbox
807.     ,"A Flawed Asylum System in Mexico , Strained Further by U.S. Changes"
808.     ,Listen to ‘The Daily’: Dick Durbin Discusses the Dream Act The Daily
809.     ,"Border Patrol Chief Said to Be Pushed Out, Ending Brief Tenure"
810.     ,"California Today: They’re Lawyers, and at Risk of Deportation California Today"
811.     ,Her Daughter Was Killed by a Gang. She Has a Message for Trump.
812.     ,Flaws Seen As Asylum In Mexico Is Strained
813.     ,Australian Leader Proposes to Raise More Barriers to Citizenship
814.     ,Australia Plans to Raise More Barriers to Citizenship
815.     ,"These Are Children, Not Bad Hombres"
816.     ,"At Dinner Honoring Mike Pence, Donald Trump Touches Many Bases"
817.     ,Trump Can’t Withhold Funds From Sanctuary Cities Op-Ed Contributor
818.     ,"Five Faces, All Immigrants, Are Added to the 9/11 Memorial"
819.     ,"If You Want to MAGA, Save DACA Op-Ed Columnist"
820.     ,"If You Want To MAGA, Save DACA"
821.     ,"These Are Children, Not Bad Hombres Contributing Op-Ed Writer"
822.     ,Who's on (and Off) Trump's Advisory Councils
823.     ,Canada Introduces ‘X’ as a Third Sex Category for Passport Holders
824.     ,The Man Behind Trump’s Voter-Fraud Obsession Feature
825.     ,Foreigners Trapped in the United States by New Policy
826.     ,Failed Referendum That Propelled Policy on Migrants
827.     ,Changes to Tech Visas Are Cosmetic for Now
828.     ,A Life in 40 Questions: Harrowing Stories of Child Migration Nonfiction
829.     ,"Vancouver Man Who Promised Riches to Investors Committed Fraud, Panel Says"
830.     ,The Exclusionist
831.     ,Travel Order's Policies Create Visa Confusion for Immigrants in U.S.
832.     ,What Google and Twitter Say About Trump's First 100 Days
833.     ,Ending a Misguided Cuba Policy
834.     ,"135 Years Ago, Another Travel Ban Was In the News"
835.     ,Executive Power Run Amok
836.     ,Suit Challenges Denial of Education Loans to Unauthorized Immigrants
837.     ,U.S. and Indian Officials Condemn Shooting of Sikh
838.     ,Court Considers Rights Of Detained Immigrants
839.     ,Trump Backs Plan to Stop Deportation of 'Dreamers'
840.     ,Executive Power Run Amok Op-Ed Contributor
841.     ,"Fearful of a Shutdown, Congress Inches Toward Stopgap Spending Bill"
842.     ,A Move to Deport More Immigrants
843.     ,"Democrats Reach Out, And President Answers"
844.     ,Survivors of Smuggling Trip Could Gain Entry to U.S. by Becoming Witnesses
845.     ,Speaker Tours Texas Area Where Trump Wants Wall
846.     ,A Summer Project to Nourish Your Political Soul Op-Ed Columnist
847.     ,"In Line for Paperwork, Immigrants Are 'Scared They'll Take Away Our Children'"
848.     ,Avoid the Deal Maker To Make a Deal
849.     ,Daily Report: Intel Looks For a Middle Path to the White House
850.     ,"In Line for Paperwork, Immigrants Are ‘Scared They’ll Take Away Our Children’"
851.     ,A Project To Nourish Your Soul
852.     ,Daily Report: Dizzying Regulatory Changes for Tech Industry
853.     ,Trump’s Border Wall Gets Billions in Budget Proposal
854.     ,"After Court Victory, Detained Teenage Immigrants Are Allowed to Obtain Abortions"
855.     ,"In Times Square, an Immigrant Is Calling You"
856.     ,"He's Not the 'First,' And It's Not a 'Record'"
857.     ,"Review: ‘Harbored’ Spins Immigrants’ Tales, With Liberty in View"
858.     ,A Travel Ban We've Seen Before
859.     ,"The Trump Administration, Love It or Leave It Op-Ed Columnist"
